55,LASACO,1.85,1.85,1.86,1.84,1.08,1.84,-0.01,-0.54,25,"1,178,122","2,179,316.71"
56,LEARNAFRCA,2.98,2.98,-,-,-,2.98,-,-,9,"20,630","63,338.85"
57,LINKASSURE,0.83,0.83,-,-,-,0.83,-,-,3,"50,000","40,654.30"
58,LIVESTOCK,1.88,1.88,1.89,1.8,4.76,1.89,0.01,0.53,36,"1,281,610","2,372,564.66"
59,MANSARD,4.5,4.5,4.35,4.26,2.07,4.26,-0.24,-5.33,53,"1,746,834","7,556,254.16"
60,MAYBAKER,5,5,-,-,-,5,-,-,12,"29,535","145,306.45"
61,MBENEFIT,0.49,0.49,0.5,0.48,4,0.48,-0.01,-2.04,28,"2,756,326","1,357,287.39"
62,MCNICHOLS,0.61,0.61,0.61,0.61,-,0.61,-,-,4,"629,270","383,880.20"
63,MECURE,2.96,2.96,3.25,3.25,-,3.25,0.29,9.8,24,"310,000","1,007,500.00"
64,MEYER,2.74,2.74,2.47,2.47,-,2.47,-0.27,-9.85,34,"496,835","1,257,683.00"
65,MORISON,2.55,2.55,-,-,-,2.55,-,-,3,"3,067","7,820.85"
66,MRS,109.95,109.95,-,-,-,109.95,-,-,2,454,"44,946.00"
67,MTNN,234,234,-,-,-,234,-,-,279,"811,144","190,775,587.40"
68,MULTIVERSE,3.2,3.2,3.2,3.2,-,3.2,-,-,17,"222,000","689,100.00"
69,NAHCO,24,24,-,-,-,24,-,-,60,"604,477","14,522,947.60"
70,NASCON,57.2,57.2,-,-,-,57.2,-,-,77,"1,005,557","56,302,494.85"
71,NB,37.75,37.75,-,-,-,37.75,-,-,47,"199,501","7,523,369.15"
72,NCR,3.96,3.96,-,-,-,3.96,-,-,1,"10,000","35,900.00"
73,NEIMETH,1.57,1.57,1.65,1.6,3.03,1.6,0.03,1.91,15,"625,740","1,005,482.18"
74,NEM,5.7,5.7,6.05,5.9,2.48,6.05,0.35,6.14,36,"593,487","3,539,897.20"
75,NESTLE,"1,050.00","1,050.00",-,-,-,"1,050.00",-,-,34,"18,410","19,326,046.00"
76,NGXGROUP,22.55,22.55,23.8,22.55,5.25,23.8,1.25,5.54,36,"5,241,694","119,528,788.60"
77,NIDF,108.4,108.4,-,-,-,108.4,-,-,5,"1,010","112,117.20"
78,NNFM,18,18,-,-,-,18,-,-,29,"289,859","5,735,552.55"
